Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Mad2l2,1.02,0.82,-1.14,0.05
Madd,1.58,0.0,1.74,0.0
Maea,1.04,0.39,1.04,0.37
Maf,1.47,0.0,1.4,0.01
Maf1,1.0,0.96,-1.01,0.86
Mafb,1.07,0.33,1.05,0.47
Mafg,1.55,0.0,1.61,0.0
Mafk,1.11,0.11,1.16,0.02
Mag,1.27,0.08,-1.04,0.85
Maged1,1.1,0.06,1.13,0.02
Maged2,1.07,0.32,1.06,0.39
Magee1,1.06,0.36,1.26,0.0
Magee2,1.08,0.44,1.24,0.05
Mageh1,-1.06,0.28,1.0,0.96
Magoh,1.15,0.13,1.15,0.12
Maip1,1.06,0.22,1.03,0.55
Mak16,1.1,0.07,1.09,0.12
Mal,1.49,0.0,1.17,0.12
Mal2,1.08,0.43,1.47,0.01
Malsu1,1.0,0.98,-1.05,0.24
Man1b1,1.16,0.03,1.19,0.01
Man2a2,1.83,0.0,1.87,0.0
Man2b1,1.3,0.03,1.15,0.19
Man2c1,1.36,0.0,1.25,0.01
Manbal,-1.05,0.32,-1.12,0.03
Manf,-1.05,0.36,-1.04,0.4
Map1a,1.47,0.01,1.72,0.0
Map1b,1.43,0.01,1.95,0.0
Map1lc3a,-1.16,0.01,-1.29,0.0
Map1lc3b,1.03,0.39,-1.03,0.42
Map1s,1.17,0.04,1.14,0.07
Map2,2.5,0.0,3.08,0.0
Map2k2,-1.01,0.84,-1.17,0.01
Map2k7,1.56,0.0,1.55,0.0
Map3k10,1.26,0.01,1.06,0.48
Map3k11,1.35,0.0,1.19,0.04
Map3k12,1.25,0.01,1.31,0.0
Map4,1.23,0.01,1.15,0.05
Map4k2,1.35,0.0,1.34,0.0
Map6,1.13,0.08,1.13,0.07
Map6d1,1.76,0.0,1.53,0.01
Map7d1,1.11,0.05,1.06,0.22
Mapk1,1.13,0.11,1.43,0.0
Mapk11,1.37,0.0,1.3,0.0
Mapk14,1.15,0.05,1.23,0.01
Mapk1ip1,1.15,0.01,1.07,0.13
Mapk3,-1.02,0.68,-1.02,0.55
Mapk4,1.12,0.22,1.07,0.4
Mapk6,1.19,0.02,1.28,0.0
Mapk8ip1,1.12,0.07,1.06,0.27
Mapk8ip3,1.72,0.0,1.79,0.0
Mapk9,1.26,0.02,1.62,0.0
Mapkapk5,1.09,0.2,-1.02,0.73
Mapre1,1.11,0.17,1.17,0.04
Mapre3,-1.03,0.44,-1.07,0.11
Mapt,1.33,0.0,1.42,0.0
Marcks,-1.02,0.99,1.32,0.16
Marcksl1,-1.12,0.06,-1.13,0.04
Mark4,1.2,0.02,1.17,0.04
Mars,1.33,0.0,1.3,0.0
Marveld1,1.17,0.21,1.09,0.43
Mas1,1.3,0.01,1.26,0.03
MAST1,1.27,0.01,1.31,0.01
Mast3,1.3,0.01,1.26,0.02
Mat2a,1.5,0.0,1.75,0.0
Mat2b,-1.04,0.66,1.08,0.26
Matk,1.07,0.19,-1.06,0.29
Matr3,1.32,0.02,1.66,0.0
Mau2,1.31,0.0,1.38,0.0
Mavs,1.04,0.5,1.1,0.13
Maz,1.53,0.0,1.43,0.0
Mbd1,1.38,0.0,1.48,0.0
Mbd3,-1.05,0.15,-1.14,0.0
Mbd6,1.57,0.0,1.33,0.01
Mblac1,1.02,0.67,-1.19,0.0
Mbp,1.21,0.11,-1.24,0.09
Mbtps1,1.41,0.0,1.36,0.0
Mcam,1.36,0.0,1.15,0.13
Mcat,1.02,0.73,-1.05,0.45
Mcf2l,1.61,0.0,1.66,0.0
Mcfd2,-1.0,0.97,1.05,0.35
Mchr1,1.15,0.06,1.18,0.04
Mcl1,1.25,0.03,1.54,0.0
Mcm3ap,1.45,0.0,1.56,0.0
Mcm4,1.27,0.02,1.51,0.0
Mcm7,1.1,0.14,-1.02,0.77
Mcoln1,1.09,0.14,1.09,0.12
Mcrip1,-1.13,0.01,-1.28,0.0
Mcrip2,-1.12,0.1,-1.37,0.0
Mcrs1,1.03,0.41,-1.05,0.22
Mcts1,1.25,0.07,1.86,0.0
Mdh1,1.02,0.74,1.07,0.18
Mdh2,-1.05,0.22,-1.05,0.27
Mdk,-1.48,0.57,-4.35,0.03
Mdm2,1.05,0.49,1.08,0.29
Mdp1,-1.06,0.47,1.03,0.64
Mea1,-1.17,0.02,-1.3,0.0
Meaf6,1.03,0.66,1.04,0.47
Med10,-1.1,0.18,-1.13,0.09
Med11,-1.13,0.08,-1.36,0.0
Med16,1.16,0.03,1.04,0.45
Med18,1.09,0.21,1.07,0.33
Med19,1.02,0.75,1.07,0.33
Med20,1.06,0.26,1.11,0.06
Med21,-1.0,0.99,1.14,0.12
Med24,1.22,0.0,1.19,0.01
Med25,1.25,0.01,1.06,0.39
Med28,-1.03,0.61,-1.03,0.64
Med29,-1.01,0.89,-1.11,0.06
Med31,-1.04,0.56,1.0,1.0
Med4,1.01,0.98,1.01,0.88
Med7,-1.06,0.57,1.22,0.07
Med8,1.31,0.15,1.41,0.04
Med9,-1.04,0.51,-1.01,0.84
Mef2d,1.77,0.0,1.9,0.0
Megf8,1.41,0.02,1.64,0.0
Meis3,-1.01,0.86,-1.11,0.1
Men1,1.11,0.08,1.1,0.09
Mesdc1,-1.04,0.46,-1.02,0.68
Mesdc2,1.03,0.63,1.05,0.4
Metap1,1.18,0.02,1.24,0.0
Metap2,1.12,0.22,1.29,0.01
Metrn,-1.04,0.54,-1.23,0.0
Mettl13,1.17,0.05,1.15,0.07
Mettl14,1.08,0.23,1.26,0.0
Mettl18,1.05,0.95,1.26,0.12
Mettl23,1.02,0.9,1.04,0.65
Mettl3,1.07,0.22,1.08,0.16
Mettl7a,1.11,0.08,-1.02,0.76
Mex3b,-1.02,0.88,1.21,0.03
Mex3c,1.08,0.36,1.59,0.0
Mfap1a,1.46,0.0,1.61,0.0
Mfap3l,2.36,0.0,2.65,0.0
Mfge8,-1.04,0.68,-1.06,0.54
Mfn2,1.21,0.02,1.3,0.0
Mfsd1,1.37,0.0,1.44,0.0
Mfsd10,1.31,0.02,1.19,0.08
Mfsd11,1.1,0.15,1.15,0.03
Mfsd12,1.7,0.0,1.58,0.0
Mfsd13a,1.09,0.27,-1.04,0.57
Mfsd14a,-1.08,0.56,1.1,0.53
Mfsd2a,1.25,0.01,1.0,0.98
Mfsd3,-1.02,0.71,-1.22,0.02
Mfsd5,-1.08,0.09,-1.08,0.11
Mfsd6,1.29,0.02,1.56,0.0
Mgat1,1.04,0.55,1.03,0.67
Mgat2,1.14,0.04,1.28,0.0
Mgat3,1.75,0.0,1.88,0.0
Mgat4b,1.13,0.02,1.01,0.85
MGC109340,1.01,0.88,1.22,0.07
MGC116121,1.19,0.08,1.28,0.01
MGC94207,1.03,0.5,-1.06,0.25
MGC95208,1.16,0.07,1.37,0.0
Mgea5,1.73,0.0,1.94,0.0
Mgp,1.23,0.73,-1.36,0.28
Mgrn1,1.38,0.0,1.29,0.01
Mgst3,-1.26,0.0,-1.23,0.01
Miat,2.28,0.0,2.26,0.0
Mib2,1.2,0.01,1.2,0.01
Mical1,1.48,0.0,1.23,0.07
Mical2,1.57,0.0,1.61,0.0
Micu1,1.13,0.04,1.07,0.21
Mid1ip1,1.01,0.87,-1.04,0.45
Midn,1.36,0.01,1.35,0.01
Mief1,1.55,0.01,1.54,0.01
Mien1,-1.1,0.05,-1.2,0.0
Mier2,1.14,0.08,1.03,0.72
Mif,-1.18,0.0,-1.34,0.0
Mif4gd,-1.11,0.27,-1.1,0.4
Miga2,1.21,0.01,1.1,0.14
Mink1,1.5,0.0,1.47,0.0
Minos1,-1.07,0.32,-1.15,0.05
Minpp1,1.12,0.13,1.15,0.06
Mis12,1.96,0.0,3.06,0.0
Mk1,1.22,0.1,1.09,0.43
Mkks,1.02,0.71,1.12,0.15
Mknk2,1.13,0.05,1.1,0.09
Mkrn1,1.2,0.03,1.3,0.0
Mkrn2,1.11,0.11,1.13,0.05
Mlc1,1.06,0.32,1.05,0.43
Mlec,2.11,0.0,2.2,0.0
Mlf2,-1.08,0.09,-1.2,0.0
Mllt1,1.06,0.31,1.08,0.19
Mllt11,-1.02,0.84,1.06,0.35
Mlst8,1.16,0.04,1.12,0.1
Mlx,1.03,0.54,1.09,0.08
Mlycd,-1.07,0.16,-1.09,0.08
Mmachc,1.18,0.03,1.25,0.01
Mmadhc,1.08,0.4,1.13,0.18
Mmd,1.1,0.27,1.33,0.01
Mmd2,1.11,0.13,1.14,0.06
Mmgt1,1.19,0.1,1.53,0.0
Mmgt2,1.05,0.6,1.22,0.06
Mmp15,1.11,0.18,1.03,0.59
Mmp17,1.07,0.29,1.13,0.09
Mmp24,-1.01,0.82,-1.05,0.33
Mnt,1.22,0.0,1.27,0.0
Moap1,1.01,0.91,1.36,0.0
Mob1a,1.26,0.02,1.49,0.0
Mob4,-1.04,0.8,1.21,0.12
Mobp,1.7,0.01,1.12,0.34
Mocs2,-1.03,0.52,-1.02,0.74
Mocs3,1.22,0.0,1.13,0.05
Mog,1.32,0.02,1.02,0.76
Mon1b,1.28,0.03,1.32,0.01
Morf4l1,1.03,0.62,1.21,0.01
Morf4l2,1.0,0.93,1.33,0.0
Morn4,-1.08,0.22,-1.06,0.3
Mospd3,-1.1,0.07,-1.23,0.0
Mpc1,1.01,0.75,1.02,0.74
Mpc2,-1.15,0.05,-1.09,0.2
Mpdu1,-1.12,0.06,-1.15,0.02
Mpeg1,1.22,0.0,1.36,0.0
Mphosph6,-1.01,0.9,1.01,0.88
Mphosph8,1.31,0.01,1.54,0.0
Mpi,1.07,0.27,1.06,0.34
Mpnd,1.09,0.1,-1.13,0.04
Mpp1,1.06,0.3,-1.23,0.0
Mpp2,1.52,0.0,1.59,0.0
Mpp3,1.22,0.02,1.09,0.25
Mpped1,1.06,0.3,1.24,0.0
Mprip,1.24,0.01,1.34,0.0
Mpst,-1.02,0.71,-1.25,0.0
Mpv17l2,-1.08,0.14,-1.29,0.0
Mpzl1,1.15,0.03,1.17,0.02
Mras,1.22,0.01,1.23,0.0
Mrfap1,-1.01,0.93,1.04,0.54
Mrgpre,1.5,0.02,1.65,0.01
Mri1,-1.06,0.34,-1.24,0.0
Mrm1,1.23,0.09,1.27,0.04
Mrm3,-1.06,0.44,-1.04,0.66
Mrpl10,1.05,0.26,1.0,0.94
mrpl11,1.04,0.4,-1.06,0.31
Mrpl12,-1.21,0.0,-1.22,0.0
Mrpl13,-1.13,0.13,-1.19,0.04
Mrpl14,-1.24,0.01,-1.39,0.0
Mrpl15,1.15,0.02,1.02,0.68
Mrpl16,1.08,0.17,1.04,0.45
Mrpl17,-1.02,0.58,-1.01,0.67
Mrpl18,-1.08,0.21,1.13,0.07
Mrpl19,1.08,0.14,1.06,0.22
Mrpl2,-1.22,0.0,-1.32,0.0
Mrpl20,-1.19,0.0,-1.18,0.0
Mrpl21,-1.13,0.08,-1.05,0.46
Mrpl23,-1.16,0.01,-1.4,0.0
mrpl24,1.01,0.72,-1.02,0.57
Mrpl27,-1.18,0.02,-1.23,0.0
Mrpl3,1.05,0.31,1.01,0.86
Mrpl32,1.02,0.84,-1.02,0.72
Mrpl34,-1.23,0.0,-1.34,0.0
Mrpl35,1.02,0.74,1.11,0.12
Mrpl37,-1.06,0.18,-1.08,0.05
Mrpl38,-1.07,0.15,-1.1,0.05
Mrpl4,1.09,0.05,1.03,0.41
Mrpl40,-1.01,0.85,1.01,0.91
Mrpl41,-1.04,0.39,-1.16,0.0
Mrpl43,-1.03,0.51,-1.08,0.1
Mrpl44,-1.03,0.57,1.02,0.68
Mrpl45,-1.09,0.06,-1.04,0.33
Mrpl46,-1.11,0.05,-1.13,0.03
Mrpl49,1.12,0.11,1.06,0.35
Mrpl50,-1.14,0.09,1.05,0.56
Mrpl51,1.22,0.02,1.38,0.0
Mrpl52,-1.1,0.16,-1.39,0.0
Mrpl54,-1.19,0.02,-1.43,0.0
Mrpl55,-1.18,0.01,-1.32,0.0
Mrpl57,-1.24,0.0,-1.36,0.0
Mrpl58,-1.12,0.04,-1.28,0.0
mrpl9,1.03,0.47,-1.03,0.46
Mrps11,-1.16,0.01,-1.22,0.0
Mrps12,-1.1,0.04,-1.21,0.0
Mrps14,-1.12,0.09,-1.1,0.17
Mrps15,1.03,0.65,-1.02,0.77
Mrps16,-1.06,0.26,-1.11,0.08
Mrps17,1.08,0.24,1.02,0.66
Mrps18a,-1.14,0.02,-1.23,0.0
Mrps18b,-1.01,0.85,-1.11,0.06
Mrps18c,1.01,0.82,1.01,0.92
Mrps2,1.05,0.45,1.13,0.06
Mrps21,-1.09,0.25,-1.23,0.01
Mrps22,1.14,0.1,1.2,0.04
Mrps23,-1.16,0.02,-1.21,0.0
Mrps24,-1.07,0.31,-1.18,0.02
Mrps25,-1.19,0.0,-1.27,0.0
Mrps26,-1.07,0.2,-1.29,0.0
Mrps30,1.06,0.3,1.31,0.0
Mrps33,-1.01,0.8,-1.05,0.41
Mrps34,-1.2,0.01,-1.3,0.0
Mrps36,-1.04,0.76,1.11,0.2
Mrps5,1.15,0.05,1.1,0.14
Mrps7,-1.15,0.0,-1.19,0.0
Mrto4,1.09,0.2,1.01,0.91
Msantd4,1.16,0.09,1.54,0.0
Msl1,1.23,0.02,1.35,0.0
Msl3,1.21,0.04,1.44,0.0
Msl3l2,1.07,0.19,-1.05,0.38
Msmo1,-1.0,0.94,1.08,0.32
Msrb1,-1.16,0.03,-1.19,0.01
Msto1,-1.09,0.21,-1.07,0.37
Msx1,-1.12,0.7,-2.11,0.19
Mt1,-1.01,0.91,-1.46,0.02
Mt2A,1.41,0.03,-1.27,0.12
Mt3,-1.18,0.01,-1.45,0.0
Mta1,1.14,0.02,1.1,0.08
Mta2,1.26,0.0,1.24,0.0
Mtch1,-1.12,0.01,-1.2,0.0
Mtch2,1.12,0.07,1.22,0.01
Mterf4,1.02,0.78,1.13,0.06
Mtfp1,-1.25,0.0,-1.08,0.24
Mtfr1l,1.1,0.08,1.19,0.0
Mtg2,-1.02,0.67,-1.07,0.2
Mtm1,1.18,0.03,1.24,0.01
Mtmr1,1.05,0.36,1.05,0.38
Mtmr4,1.35,0.01,1.57,0.0
Mtmr6,1.21,0.04,1.51,0.0
Mtmr9,2.06,0.0,2.42,0.0
Mtpn,1.59,0.0,1.87,0.0
Mtss1l,1.44,0.0,1.38,0.01
Mturn,2.04,0.0,2.09,0.0
Mtx1,1.03,0.43,-1.06,0.13
Mul1,1.1,0.14,1.18,0.01
Mum1,1.07,0.29,1.08,0.21
Mum1l1,1.41,0.03,1.87,0.0
Mus81,1.13,0.04,-1.01,0.91
Mustn1,1.01,0.97,1.13,0.44
Mvb12a,1.02,0.7,-1.34,0.0
Mvd,-1.12,0.08,-1.23,0.0
Mvk,-1.06,0.57,-1.15,0.13
Mxd4,1.57,0.0,1.56,0.0
Mxi1,1.13,0.1,1.2,0.02
Mxra8,1.24,0.22,1.06,0.61
Myadm,1.05,0.3,1.3,0.0
Myadml2,1.31,0.02,1.27,0.03
Mybbp1a,1.42,0.0,1.4,0.0
Mybph,1.21,0.1,-1.13,0.3
Myc,1.04,0.7,1.02,0.75
Mycl,1.42,0.03,1.41,0.03
Mycn,-1.16,0.15,1.15,0.12
Myd88,1.06,0.4,1.06,0.4
Myef2,1.24,0.02,1.43,0.0
Myg1,-1.1,0.09,-1.2,0.0
Myh10,1.35,0.01,1.73,0.0
Myl12a,1.15,0.27,1.0,0.99
Myl12b,-1.02,0.66,-1.01,0.87
Myl6,-1.11,0.1,-1.06,0.32
Myl6b,-1.19,0.04,-1.56,0.0
Myl6l,-1.29,0.01,-1.79,0.0
Myl9,1.1,0.68,-1.12,0.47
Myo18a,1.53,0.0,1.58,0.0
Mypop,-1.04,0.54,-1.17,0.03
Myrf,1.46,0.01,1.19,0.14
Mzf1,1.4,0.0,1.29,0.01
Mzt2b,1.12,0.09,1.1,0.14
Naa10,-1.04,0.54,-1.05,0.51
Naa20,-1.05,0.53,1.06,0.36
Naa30,1.1,0.36,1.57,0.0
Naa38,-1.16,0.0,-1.34,0.0
Naa60,1.15,0.02,1.16,0.01
Nab2,-1.01,0.9,1.09,0.11
Nabp2,-1.04,0.32,-1.13,0.01
Naca,-1.06,0.24,-1.11,0.06
Nacad,1.31,0.01,1.21,0.03
Nacc1,1.75,0.0,1.73,0.0
Nadk,1.13,0.05,1.11,0.09
Naga,1.02,0.77,-1.0,0.97
Nagk,-1.04,0.52,-1.03,0.67
Nans,1.15,0.06,1.14,0.06
Nap1l1,1.26,0.03,1.58,0.0
Nap1l2,1.06,0.54,1.53,0.0
Nap1l3,1.05,0.52,1.46,0.0
Nap1l4,1.09,0.15,1.17,0.02
Nap1l5,-1.2,0.12,1.04,0.76
Napa,1.04,0.57,-1.05,0.5
Napb,2.2,0.0,2.54,0.0
Napg,1.16,0.11,1.41,0.0
Naprt,1.0,0.98,-1.13,0.09
Narf,1.17,0.06,1.31,0.0
Narfl,1.1,0.14,-1.03,0.6
Nars,1.13,0.04,1.17,0.01
Nat14,-1.18,0.0,-1.16,0.01
Nat6,-1.01,0.92,-1.16,0.05
Nat8l,1.4,0.0,1.35,0.0
Nat9,-1.13,0.05,-1.16,0.03
Naxd,-1.03,0.56,-1.06,0.26
Naxe,-1.1,0.07,-1.12,0.03
Nbl1,1.07,0.46,-1.05,0.61
Nbr1,1.27,0.0,1.37,0.0
Ncald,1.12,0.11,1.22,0.01
Ncan,1.9,0.0,2.03,0.0
Ncaph2,1.26,0.01,1.16,0.06
Ncbp1,1.2,0.02,1.43,0.0
Ncdn,1.16,0.05,1.14,0.08
Nckap1,1.37,0.01,1.86,0.0
Nckap5l,1.3,0.02,1.28,0.02
Nckipsd,1.06,0.31,1.1,0.1
Ncl,1.27,0.01,1.42,0.0
Ncln,1.22,0.01,1.08,0.25
Ncoa4,1.16,0.07,1.38,0.0
Ncoa5,1.06,0.33,1.1,0.11
Ncoa6,1.42,0.01,1.76,0.0
Ncs1,1.59,0.0,1.53,0.0
Ncstn,1.12,0.06,1.13,0.03
Ndel1,1.04,0.44,1.15,0.01
Ndfip1,-1.01,0.98,1.15,0.11
Ndfip2,1.09,0.27,1.26,0.01
Ndn,-1.11,0.03,-1.1,0.05
Ndor1,1.04,0.48,1.03,0.6
Ndrg1,1.23,0.02,1.1,0.23
Ndrg2,1.07,0.28,1.08,0.26
Ndrg3,1.05,0.42,1.12,0.08
Ndrg4,1.07,0.2,1.18,0.01
Ndufa10,1.01,0.86,-1.03,0.55
Ndufa10l1,1.15,0.02,1.13,0.04
Ndufa11,-1.21,0.0,-1.32,0.0
Ndufa12,-1.11,0.09,-1.2,0.01
Ndufa2,-1.21,0.0,-1.33,0.0
Ndufa4,-1.03,0.46,-1.06,0.16
Ndufa4l2,-1.35,0.02,-1.23,0.1
Ndufa5,1.0,0.93,-1.02,0.78
Ndufa6,-1.14,0.03,-1.33,0.0
Ndufa7,-1.24,0.0,-1.29,0.0
Ndufa8,-1.04,0.38,-1.08,0.15
Ndufa9,-1.04,0.4,-1.03,0.53
Ndufab1,-1.05,0.42,-1.03,0.63
Ndufaf3,-1.1,0.04,-1.17,0.0
Ndufaf4,1.09,0.38,1.36,0.01
Ndufaf7,-1.01,0.92,1.17,0.05
Ndufb10,-1.14,0.01,-1.23,0.0
Ndufb11,-1.18,0.0,-1.31,0.0
Ndufb2,-1.19,0.01,-1.34,0.0
Ndufb3,-1.06,0.31,-1.12,0.04
Ndufb4,-1.06,0.2,-1.23,0.0
Ndufb5,-1.08,0.16,-1.14,0.03
Ndufb6,-1.14,0.01,-1.11,0.04
Ndufb7,-1.21,0.0,-1.38,0.0
Ndufb8,-1.18,0.0,-1.29,0.0
Ndufb9,-1.21,0.0,-1.3,0.0
Ndufc2,-1.09,0.5,1.15,0.26
Ndufs1,1.25,0.01,1.39,0.0
Ndufs2,-1.04,0.24,-1.02,0.57
Ndufs3,-1.12,0.01,-1.16,0.0
Ndufs5,-1.2,0.0,-1.3,0.0
Ndufs6,-1.12,0.4,-1.31,0.08
Ndufs7,-1.2,0.01,-1.28,0.0
Ndufs8,-1.21,0.0,-1.27,0.0
Ndufv1,-1.09,0.03,-1.11,0.01
Ndufv2,-1.02,0.69,-1.08,0.2
Ndufv3,-1.13,0.01,-1.22,0.0
Necab2,1.02,0.72,-1.05,0.29
Necab3,-1.17,0.3,1.01,0.94
Necap1,1.03,0.55,1.16,0.01
Necap2,1.01,0.9,-1.06,0.46
Nectin1,1.26,0.01,1.33,0.0
Nedd4,1.27,0.01,1.49,0.0
Nedd8,-1.08,0.08,-1.16,0.0
Nefh,1.27,0.03,1.25,0.04
Nefl,1.32,0.03,1.27,0.04
Nefm,1.19,0.09,1.28,0.02
Neil1,1.03,0.92,1.03,0.73
Nek9,1.33,0.01,1.45,0.0
Nelfa,1.16,0.03,1.05,0.46
Nelfb,1.08,0.19,1.04,0.48
Nelfcd,1.17,0.02,1.09,0.15
Nelfe,1.04,0.36,-1.14,0.01
Nell2,1.19,0.03,1.16,0.06
Nenf,-1.3,0.0,-1.36,0.0
Nes,1.78,0.0,1.55,0.0
Net1,1.63,0.01,1.36,0.05
Neu1,1.04,0.5,-1.12,0.06
Neurl2,1.19,0.02,-1.21,0.02
Neurl4,1.29,0.0,1.32,0.0
Neurod1,1.23,0.04,1.38,0.0
Neurod2,1.45,0.01,1.24,0.1
Neurod6,1.24,0.04,1.17,0.1
Nf2,1.36,0.0,1.39,0.0
Nfasc,1.43,0.01,1.54,0.0
Nfkbia,1.7,0.0,1.02,0.67
Nfkbib,-1.11,0.11,-1.18,0.03
Nfrkb,1.52,0.0,1.45,0.0
Nfyb,1.06,0.27,1.07,0.25
Ngb,-1.4,0.12,-1.41,0.17
Ngdn,-1.09,0.28,-1.19,0.06
Ngef,-1.11,0.25,1.02,0.83
Ngrn,-1.01,0.89,1.01,0.84
Nhlh1,1.14,0.27,1.27,0.13
Nhlrc1,1.23,0.02,1.22,0.02
Nhp2l1,-1.03,0.59,-1.06,0.21
Nicn1,1.11,0.03,1.11,0.03
Nifk,1.21,0.02,1.41,0.0
Ninj1,-1.15,0.05,-1.18,0.02
Nip7,1.06,0.28,1.2,0.01
Nipsnap1,1.06,0.19,1.11,0.03
Nit1,-1.01,0.95,-1.09,0.41
Nit2,1.16,0.05,1.14,0.09
Nkiras1,1.22,0.03,1.38,0.0
Nkiras2,1.09,0.26,1.02,0.76
Nkx2-2,-1.23,0.05,-1.2,0.08
Nkx6-2,1.08,0.38,-1.46,0.0
Nlgn2,1.43,0.0,1.5,0.0
Nlgn3,1.53,0.0,1.73,0.0
Nmb,1.09,0.6,-1.26,0.25
Nme1,-1.19,0.0,-1.2,0.0
Nme2,-1.19,0.0,-1.3,0.0
Nme3,-1.25,0.0,-1.38,0.0
Nmt1,1.42,0.0,1.44,0.0
Nnat,-1.24,0.0,-1.24,0.01
Noa1,-1.01,0.89,1.12,0.06
Nob1,1.02,0.57,-1.03,0.45
Noc2l,1.3,0.01,1.28,0.01
Noc4l,1.03,0.58,-1.03,0.56
Noct,1.11,0.21,1.33,0.0
Nog,-1.15,0.04,-1.04,0.52
Nol12,-1.01,0.8,-1.14,0.04
Nol3,1.08,0.11,-1.09,0.08
Nolc1,1.19,0.02,1.28,0.0
Nomo1,1.17,0.03,1.22,0.01
Nono,1.15,0.03,1.24,0.0
Nop10,-1.17,0.01,-1.23,0.0
Nop16,-1.11,0.02,-1.08,0.09
Nop2,1.0,0.93,-1.0,0.99
Nop56,1.14,0.06,1.12,0.09
Nop58,1.23,0.04,1.5,0.0
Nop9,1.17,0.03,1.12,0.11
Nosip,-1.08,0.28,-1.32,0.0
Nov,-1.2,0.54,1.4,0.09
Npas1,1.24,0.03,-1.0,0.97
Npb,1.14,0.16,-1.25,0.02
Npc1,1.35,0.01,1.31,0.01
Npc2,-1.15,0.09,-1.27,0.01
Npdc1,-1.02,0.72,-1.13,0.01
Npepps,1.22,0.01,1.38,0.0
Nploc4,1.28,0.0,1.26,0.01
Npm1,1.09,0.3,1.32,0.01
Nppa,-1.05,0.57,-1.07,0.51
Nppc,-1.32,0.01,-1.13,0.21
Npr2,1.4,0.0,1.36,0.01
Nprl2,1.06,0.37,1.16,0.04
Nptn,1.13,0.14,1.41,0.0
Nptx1,1.32,0.02,1.37,0.01
Nptx2,1.51,0.0,1.11,0.29
Nptxr,1.3,0.03,1.26,0.05
Npy1r,1.16,0.2,1.9,0.0
Npy2r,1.33,0.09,1.38,0.05
Nr1d1,1.01,0.92,1.13,0.11
Nr1d2,1.18,0.15,1.52,0.0
Nr1h2,1.06,0.25,-1.15,0.02
Nr1i3,-1.06,0.45,1.0,0.97
Nr2c2ap,-1.05,0.47,-1.2,0.02
Nr2f1,1.14,0.05,1.06,0.37
Nr2f2,1.09,0.36,1.21,0.06
Nr2f6,1.01,0.91,-1.25,0.0
Nr4a1,1.25,0.0,1.37,0.0
Nr4a2,1.07,0.51,1.71,0.0
Nr4a3,1.55,0.0,1.76,0.0
Nrarp,1.15,0.1,1.03,0.68
Nras,1.55,0.0,1.73,0.0
Nrbp1,1.1,0.05,1.09,0.09
Nrbp2,1.55,0.0,1.29,0.03
Nrdc,1.31,0.01,1.49,0.0
Nrgn,-1.09,0.16,-1.32,0.0
Nrip3,1.32,0.01,1.35,0.01
Nrn1,1.04,0.52,1.04,0.55
Nrsn1,1.15,0.05,1.35,0.0
Nrsn2,-1.14,0.05,-1.15,0.04
Nrxn2,1.07,0.21,1.08,0.16
Ns5atp4,1.09,0.53,1.11,0.35
Nsa2,-1.02,0.64,1.02,0.6
Nsf,1.37,0.01,1.45,0.0
Nsfl1c,-1.06,0.18,-1.11,0.02
Nsg1,1.02,0.6,1.04,0.28
Nsg2,1.02,0.67,1.15,0.01
Nsmce3,-1.08,0.15,-1.14,0.02
Nsmce4a,1.24,0.03,1.25,0.03
Nsmf,1.22,0.02,1.1,0.21
Nsun2,1.17,0.02,1.21,0.01
Nsun5,1.06,0.42,1.05,0.46
Nt5c3b,1.01,0.86,-1.05,0.39
Nt5dc3,2.21,0.0,2.17,0.0
Ntan1,1.02,0.83,1.12,0.24
Ntmt1,-1.18,0.03,-1.2,0.02
Ntn3,1.44,0.01,1.51,0.0
Ntpcr,-1.06,0.26,-1.2,0.0
Ntrk2,1.43,0.01,1.6,0.0
Ntsr2,-1.12,0.17,-1.18,0.05
Nub1,1.17,0.01,1.18,0.01
Nubp1,-1.17,0.01,-1.12,0.06
Nubp2,1.05,0.26,-1.08,0.09
Nucb1,1.04,0.35,-1.02,0.61
Nucks1,1.31,0.01,1.53,0.0
Nudc,-1.06,0.15,-1.16,0.0
Nudcd2,1.02,0.73,1.06,0.51
Nudt14,-1.2,0.03,-1.42,0.0
Nudt16,1.05,0.4,-1.07,0.24
Nudt16l1,-1.07,0.12,-1.18,0.0
Nudt18,-1.02,0.71,-1.05,0.35
Nudt19,-1.03,0.69,-1.07,0.45
Nudt2,-1.04,0.34,-1.13,0.02
Nudt21,1.28,0.01,1.34,0.0
Nudt22,1.04,0.53,-1.25,0.0
Nudt3,1.02,0.61,-1.03,0.47
Nudt4,1.16,0.05,1.33,0.0
Nudt9,-1.08,0.13,-1.13,0.02
Numa1,1.72,0.0,1.74,0.0
Numbl,1.23,0.03,1.15,0.12
Nup50,1.38,0.01,1.61,0.0
Nup62,-1.04,0.51,1.09,0.21
Nupr2,-1.1,0.34,-1.36,0.03
Nus1,1.13,0.14,1.45,0.0
Nutf2,1.03,0.55,1.06,0.21
Nxf1,1.53,0.0,1.58,0.0
Nxph3,-1.8,0.15,1.26,0.56
Nxt1,-1.22,0.02,-1.11,0.24
Nyap1,1.23,0.03,1.25,0.02
Oaf,-1.09,0.32,-1.06,0.46
